action,curr_lane,free_E,free_NE,free_NW,free_SE,free_SW,free_W,orig_label_lc,latent_collision,iaction,probability,frequency,potential_crash_before_intervention,potential_crash_after_intervention
change_to_right,False,False,False,False,False,False,False,True,True,keep,0.0009989999999999,2500,True,False
change_to_right,False,False,False,False,False,True,True,True,True,keep,0.000999,2579,True,False
cruise,False,True,False,False,True,True,False,True,True,keep,0.0009989999999999,2500,True,False
change_to_left,False,True,False,False,True,True,False,True,True,keep,0.0009990040225655,2500,True,False
cruise,False,True,False,False,True,True,True,True,True,keep,0.000999,4123,True,False
change_to_right,False,True,False,False,True,True,True,True,True,keep,0.000999,2869,True,False
change_to_left,False,True,False,False,True,True,True,True,True,keep,0.000999,2577,True,False
change_to_right,False,True,False,True,False,False,False,True,True,keep,0.0009989999999999,2500,True,False
change_to_left,False,True,False,True,False,False,False,True,True,keep,0.0009989999999999,2500,True,False
change_to_right,False,True,False,True,False,False,True,True,True,keep,0.000999,2500,True,False
change_to_left,False,True,False,True,False,False,True,True,True,keep,0.000999,2502,True,False
change_to_right,False,True,False,True,False,True,False,True,True,keep,0.000999,2500,True,False
cruise,False,False,False,False,False,True,True,True,True,keep,0.000999,3937,True,False
change_to_left,False,True,False,True,False,True,False,True,True,keep,0.000999,2500,True,False
change_to_right,False,True,False,True,False,True,True,True,True,keep,0.0009990060178578,2566,True,False
change_to_left,False,True,False,True,False,True,True,True,True,keep,0.000999,3488,True,False
change_to_right,False,True,False,True,True,False,False,True,True,keep,0.000999,2500,True,False
change_to_left,False,True,False,True,True,False,False,True,True,keep,0.000999,2506,True,False
change_to_right,False,True,False,True,True,False,True,True,True,keep,0.000999,2501,True,False
change_to_left,False,True,False,True,True,False,True,True,True,keep,0.000999,3860,True,False
change_to_right,False,True,False,True,True,True,False,True,True,keep,0.0009989999999999,2505,True,False
change_to_left,False,True,False,True,True,True,False,True,True,keep,0.000999,2500,True,False
change_to_right,False,True,False,True,True,True,True,True,True,keep,0.000999,2621,True,False
change_to_left,False,False,False,False,False,True,True,True,True,keep,0.000999,2500,True,False
